id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3351826,AMAZING Top Floor 3 BEDROOM 2 BATH Unit,15586744,Sven,,Sai Kung,22.29449,114.27091,Entire home/apt,1863,7,35,2022-12-19,0.46,15,287,3,
4696858,Student Hostel for 1 person_La Vue,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.306791305541992,114.16658782958984,Private room,480,90,335,2019-10-31,3.43,13,180,0,
2023516,WANCHAI  Room --  *************,4584648,Ivy,,Wan Chai,22.27705,114.17593,Private room,180,30,0,,,383,365,0,
3443586,Nice Studio available in Wan Chai,4584648,Ivy,,Wan Chai,22.2774,114.16943,Private room,217,60,0,,,383,364,0,
2039863,Newly renovated Unit 5 – Explore like a local,6067974,Wilson,,Wan Chai,22.28608,114.1912,Entire home/apt,1200,28,54,2021-04-08,0.50,53,179,0,
4702937,SYP room available.,4584648,Ivy,,Central & Western,22.28721,114.14435,Private room,130,30,0,,,383,365,0,
3469627,Lovely cozy new renovated rm Shatin,6975429,Feronia,,Sha Tin,22.38055,114.18658,Private room,568,28,52,2019-12-01,0.51,1,319,0,
4703186,DELUXE LAN KWAI FONG room --- CENTRAL,4584648,Ivy,,Central & Western,22.28035,114.15638,Private room,180,29,0,,,383,365,0,
2079554,Nice room in Shek Tong Tsui,4584648,Ivy,,Central & Western,22.28522,114.13643,Private room,180,30,1,2014-05-14,0.01,383,343,0,
3525683,Newly renovated! Explore like local,6067974,Wilson,,Wan Chai,22.28394,114.19254,Entire home/apt,1200,28,63,2022-06-25,0.63,53,114,1,
3535812,"Kowloon Mongkok 1812 Quadruple Room A,near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31716,114.17058,Private room,599,2,43,2019-10-05,0.44,12,0,0,
2084693,Bridge and Sea view 2 bedroom Apartment w/ Balcony,10647247,Patrick,,Sha Tin,22.35852,114.14402,Entire home/apt,835,30,31,2022-11-12,0.28,1,113,1,
2118190,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，大床房,10800424,Leslie,,Yau Tsim Mong,22.29805,114.17523,Private room,800,1,0,,,3,365,0,
4712476,Sheung Wan - nxt to Western Market,4584648,Ivy,,Central & Western,22.28628,114.14906,Private room,180,29,0,,,383,365,0,
3545636,"Kowloon Mongkok 1812 Twin Room B, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31782,114.16945,Private room,310,2,21,2019-08-11,0.22,12,0,0,
4712684,Nice Sheung Wan Room,4584648,Ivy,,Central & Western,22.28576,114.14928,Private room,180,30,0,,,383,365,0,
2118222,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，雙床房,10800424,Leslie,,Yau Tsim Mong,22.29787,114.17558,Private room,850,1,0,,,3,365,0,
2118400,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，家庭房,10800424,Leslie,,Yau Tsim Mong,22.29665,114.17358,Private room,950,1,0,,,3,365,0,
3587653,Sweet home near university,7842633,Chu,,Tuen Mun,22.4155,113.98068,Entire home/apt,850,30,0,,,2,364,0,
2180315,Deluxe Yau Ma Tei Studio,4584648,Ivy,,Yau Tsim Mong,22.31533,114.1681,Private room,217,30,0,,,383,364,0,
4724498,Student Hotel for 1 person_La Rouge,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.30679,114.16659,Private room,350,90,283,2020-08-09,2.90,13,0,0,
3596518,SPECTACULAR Seaview 3 BEDRM Unit,15586744,Sven,,Sai Kung,22.29287,114.2731,Entire home/apt,1680,7,25,2018-04-22,0.26,15,0,0,
4724533,Student hostel for 1 or 2_La Deluxe,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.306791305541992,114.16658782958984,Private room,600,90,349,2019-10-19,3.58,13,0,0,
4724552,Student hostel for 1 or 2_La Sauge,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.30679,114.16659,Private room,480,90,378,2020-07-07,3.87,13,78,0,
2184084,Stylish+Chic @Midlevel Centre St,10713209,Eric,,Central & Western,22.28143,114.14003,Entire home/apt,1949,30,20,2016-03-25,0.18,1,365,0,
2186111,香港油麻地｜3分鐘到地鐵雙人房+沙發連獨立衛浴清潔維修家具WiFi匙卡系統24CCTV非代理可長短租,10428889,Theshanghai,,Yau Tsim Mong,22.31371,114.17006,Private room,297,30,0,,,8,353,0,
2217839,Room in Fortress Hill - F4c,4584648,Ivy,,Eastern,22.28942,114.19454,Private room,180,30,1,2014-01-27,0.01,383,364,0,
4730498,The best apartment in Sai Ying Pun is back!,24427956,Francis,,Central & Western,22.28626,114.13514,Entire home/apt,799,4,65,2022-12-08,0.67,1,32,7,
4751714,"Quiet Private 1 BR near Austin, YMT, Jordan MTR",3820308,David,,Yau Tsim Mong,22.30841,114.16773,Entire home/apt,531,2,38,2022-11-23,0.40,13,168,5,
3616954,Deluxe Studio - Causeway Bay,4584648,Ivy,,Wan Chai,22.27902,114.18248,Private room,217,31,1,2015-07-01,0.01,383,365,0,
4763087,JW Rm7 for 2 ppl (3mins to subway),24575135,Hau Kuen,,Yau Tsim Mong,22.31988,114.1706,Private room,238,1,124,2019-05-04,1.28,11,365,0,
4774928,Kim Tin Hotel 錦田賓館,24626867,Dennis,,Yuen Long,22.4416,114.06194,Private room,300,1,0,,,1,365,0,
2269506,2BR in SOHO- STAUNTON ST. 100m from ESCALATOR #1,1306308,Will,,Central & Western,22.28174,114.15413,Entire home/apt,2838,4,132,2019-12-31,1.22,1,364,0,
2298810,One bedroom with its own balcony.,11741853,Phil,,Sai Kung,22.39501,114.26992,Private room,650,1,128,2021-08-22,1.18,1,113,0,
3647187,North Point's hidden treasure!,15449365,Tammy,,Eastern,22.28922,114.19866,Entire home/apt,903,3,102,2022-12-11,1.00,1,5,2,
2333604,Room Near MTR station HK Island,11920400,Jo,,Eastern,22.29182,114.20248,Private room,900,5,0,,,1,358,0,
2413558,ROOM IN North Point,4584648,Ivy,,Eastern,22.28547,114.21686,Private room,180,30,0,,,383,365,0,
4797773,Student hotel for 1 or 2_La Bois,22037293,Vincent & Partners@La Boutique,,Yau Tsim Mong,22.306791305541992,114.16658782958984,Private room,600,90,241,2019-11-13,2.49,13,180,0,
4798868,JW Rm6 for 2ppl (3mins to subway),24575135,Hau Kuen,,Yau Tsim Mong,22.3199,114.17053,Private room,238,1,52,2022-08-27,0.53,11,362,1,
4811467,JW  Rm no.2 for 3ppl(3mins to subway),24575135,Hau Kuen,,Yau Tsim Mong,22.32002,114.17056,Private room,261,1,88,2019-05-18,0.91,11,365,0,
4834521,MongKok Rm6 (3mins to subway) 2ppl,24575135,Hau Kuen,,Yau Tsim Mong,22.31988,114.17053,Private room,240,1,55,2022-09-08,0.57,11,361,1,
4841805,JW Rm3 for 4 ppl  (3mins to subway),24575135,Hau Kuen,,Yau Tsim Mong,22.31986,114.17053,Private room,299,1,100,2019-05-20,1.04,11,357,0,
4849950,location location location,8320211,A J,,Central & Western,22.27776,114.15474,Entire home/apt,3000,7,0,,,1,87,0,
4856303,MongKok Rm11 (3mins to subway) 2ppl,24575135,Hau Kuen,,Yau Tsim Mong,22.3199,114.17055,Private room,240,1,54,2019-04-13,0.55,11,365,0,
4866210,MongKok Rm1 (3mins to subway) 3ppl,24575135,Hau Kuen,,Yau Tsim Mong,22.31989,114.17053,Private room,259,1,76,2019-05-02,0.78,11,359,0,
2432234,Happy Valley garden apartment -50m from Sanitorium,4286023,Jeff,,Wan Chai,22.27052,114.1844,Entire home/apt,1800,1,0,,,1,173,0,
3712813,"Kowloon Mongkok 1812 Double Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31664,114.16859,Private room,299,2,10,2019-03-22,0.10,12,0,0,
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,,Yau Tsim Mong,22.31338,114.1677,Entire home/apt,580,1,329,2022-08-26,3.08,1,308,3,
2527002,Flat Share in Sham Shui Po,4584648,Ivy,,Wong Tai Sin,22.33856,114.21525,Private room,180,30,1,2015-11-05,0.01,383,365,0,
4869749,MongKok Rm8 (3mins to subway) 2ppl,24575135,Hau Kuen,,Yau Tsim Mong,22.3199,114.17054,Private room,238,1,84,2022-11-15,0.86,11,361,2,
